sectionName,string
Results,"Work with non-neuronal cells has suggested that BCL-xL regulates the flux of metabolites across the outer mitochondrial membrane to facilitate transport of ATP into the cytosol after a death stimulus (Vander Heiden et al., 2000, 2001)."
7 EXPERIMENTS,"We have added the affordances to the definitions by hand, but we will look at ways to automate this, either based on semantic annotations provided with the CAD files as in [15], or possibly some geometric reasoning on part features."
3.2.2 Implementation,"To determine this canonical set of values, the parameters from the mathematical model of the leech HN neurons were used as a starting point because the silicon neurons were based on this mathematical model [54]."
6 OUTLOOK,"In [103], a gamma, X-ray, and high energy proton radiationtolerant SPAD has been developed for space applications."
Discussion,"Interestingly, within such a time interval, AMPAR translocation seems to occur predominantly between an intracellular somatic pool and extrasynaptic somatic sites (Adesnik et al., 2005)."
3. Lq convergence: general bound,"This section contains a generalisation of the basic results on multifractal products of stochastic processes developed in Kahane (1985), Kahane (1987) and Mannersalo et al (2002)."
1. Introduction,"Cold can activate sympathetic nerve system (SNS) to excrete norepinephrine, and then the BAT, which is rich in sympathetic nerve terminals, will produce more heat [11]."
6 Experiments,"We use 3 standard MLC benchmarks, as used by other recent approaches (Belanger & McCallum 2016; Gygli et al. 2017; Amos & Kolter 2017): Bibtex, Delicious, and Bookmarks."
METHODS,"The admission assessment included determining the risk factors for cerebral infarction,13,14 clinical ischemic stroke category (National Institute of Neurological Disorders and Stroke1), and disease severity using the National Institutes of Health Stroke Scale.15
 545
 Abbreviations
 AF = Atrial fibrillation
 LAA = Left atrial appendage
 LAA eV = LAA emptying flow velocity
 LAD = Left atrial dimension
 LAWV = LAA peak wall velocity
 ROC = Receiver operating characteristic
 SEC = Spontaneous echocardiographic contrast
 TEE = Transesophageal echocardiography
 TTE = Transthoracic echocardiography
 We defined patients who had no histories of AF and no documented AF on continuous electrocardiographic monitoring during hospitalization as the sinus rhythm group, patients who had histories of AF before admission and/or continuously documented AF on continuous electrocardiographic monitoring during hospitalization as having chronic AF, and patients who had AF at admission and recovered to normal sinus rhythm during hospitalization and/or showed sinus rhythm at admission and documented transient AF on continuous electrocardiographic monitoring during hospitalization as having paroxysmal AF."
Materials and methods,"…Accession P21334), al-2 (UniProt Accession P37295) and al-3 (UniProt Accession P24322) were used to search the genomic sequence of P. anserina [Espagne et al. 2008), published at http://www.genoscope.cns.fr/externe/ English/Projets/Projet_GA/GA.html (P. anserina sequencing consortium)] for…"
Methods,"The review protocol describes all steps performed during the review, reduces risk of bias, and increases its rigor, transparency, and repeatability [17]."
2.2 Methods,"In this paper, W , is an intermediate logic,resembling first order logic, that uses the meta-data gleaned from WordNet, and is used as an intermediary stepping logic that can be converted into another logic, such as a first order logic."
Discussion,"We demonstrate that the average amplitudes of contralateral PBR (cPBR) and ipsilateral NBR (iNBR) were negatively correlated as previously reported and thought to result from increased ipsilateral inhibition occurring concurrently with increased contralateral excitation (Klingner et al., 2010; Shmuel et al., 2002)."
,"18 De Cocker, 2011 [16] Belgium 1 1566 CABG, valve, combined, and other Prolonged > 2, 5, 7 days & continuous Prediction model"
,"1998), to provide great £exibility in testing evolutionary hypotheses (Huelsenbeck & Rannala 1997), and simply to give excellent results in the inference of evolutionary relationships (Kuhner & Felsenstein 1994; Huelsenbeck 1995). Constraints imposed by computational complexity are becoming less restrictive as computers improve. Given the recognition of phylogenetic inference as being inherently statistical in nature, it is surprising that so little attention has been paid to experimental design. A number of topics of relevance to experimental design in phylogenetics have been discussed previously. There is something of a folklore surrounding the choice of genes or other genomic regions for investigating particular evolutionary questions, but almost no published quantitative results. It is widely accepted that sequences that have undergone very little evolutionary change since their divergence from a common ancestor, through low substitution rates or short evolutionary times, will exhibit too few di¡erences to contain useful evolutionary information. Equally, sequences that have undergone very large amounts of change (high rates or long times) become `saturated' with changes and no evolutionary signal is detectable amid the noise. Consequently, a happy medium is expected at some intermediate level of sequence divergence, but the àsymptotic' results (for extreme high and low levels of divergence) give no clue as to where this lies. Although there is considerable experience with particular genes and organisms (see Hillis et al. (1996, pp. 336^339) for an extensive list of studies), where comparisons among genes have been made they tend to be evaluated empirically by the congruence of the results obtained among themselves and with researchers'a priori expectations. In addition, a large laboratory e¡ort is needed before even these qualitative conclusions can be reached. The methods introduced in this paper can quantify the e¡ects of varying levels of divergence. They con¢rm the belief that intermediate levels of sequence divergence are most useful, and are able to give estimates of optimal levels of divergence. The necessary analyses can be done before any data are collected. The only other method for assessing which genomic regions are likely to be most useful in phylogenetic questions is that of Yang (1998). This uses simulation to estimate probabilities of successful tree-topology inference. The approach may be extremely time-consuming for realistic problems. The choice of taxa to include in phylogenetic studies has also rarely been discussed. Li et al. (1987) considered the e¡ects of adding outgroup taxa, and Ritland & Clegg (1990) and Maddison et al. (1992) are agreed that if outgroups are to be added, they should not be too distantly related to the ingroup taxa (a conclusion that is con¢rmed in this paper)."
INTRODUCTION,"…acid peptide domain known as the homeodomain (McGinnis et al., 1984a,b; Laughon and Scott, 1984), a peptide motif conferring sequence-specific DNA binding ability to the homeoproteins (Laughon and Scott, 1984; Desplan et al., 1985; Beachy et al., 1988; Müller et al., 1988; Ekker et al., 1991)."
Background Characteristics Spacing Limiting Total RRR P-value RRR P-value OR P-Value Age,"Studies in other sub-Saharan African countries also showed that rural women had significantly higher unmet need compared to urban women (21, 26, 27, 31)."
Implementation Details,2015) as the weight initialization method and train our network using Adam (Kingma and Ba 2014) with a minibatch size of 64.
Methods,"To visualize CSE1-GFP and RFP-VPS-52 localization, the strains were grown on Vogel’s MM plates overnight and squares of 1 cm were excised and examined in the same confocal microscope explained above using the 488-nm laser for GFP and 563 nm laser for RFP."
DISCUSSION,"Based on previous studies, bothmGluR1 andmGluR5 were very important for the regulation of pyramidal cell excitability (Mannaioni et al., 2001; Ireland and Abraham, 2002)."
1 Introduction,"In the context of the SPIN model checker [24], AI Planning heuristic search methods have been adapted to SPIN [9, 10], and compilations from Promela to AI Planning languages have been designed [8]."
1. Introduction,A longer pulse or a longer rising/falling time will increase the interaction of the light photons and acoustic phonons and lead to a worse spatial resolution along the fiber [1].
Background,"Aberrant mammalian GPCR activity has been directly linked to such maladies as blindness, asthma, heart disease, obesity, and cancer [13,14]."
Methods,"Based on previous studies, each intervention could be assumed to increase the breastfeeding rate and correspondingly reduce the incidence of rotavirus-diarrhea [1,3,10-12]."
Discussion,ethnic minorities and an often difficult relationship between service users and mental health services (Broome et al. 2005).
INTRODUCTION,"FGF23 induces hypertrophic growth of cardiac myocytes in vitro and LVH in rodents through a direct FGFR-dependent mechanism, but independently of a-klotho, which is not expressed in cardiac myocytes (Faul et al., 2011)."
