sectionName,string
Discussion,"These results, together with previous findings [49], indicate that adiponectin and its receptors, especially ADIPOR2, play an important role in regulating fasting plasma triglyceride levels, and that they could have a potential role in VLDL metabolism."
1 Introduction,"Recently, a novel method called minimal distance maximization (MDM) [12,13] was developed which does not require any weighting function."
1. Introduction,"The third category of techniques uses local spatio-temporal features [16, 27, 14, 8, 22] which have recently become a very popular video representation method for action recognition."
4.3. Experimental setup,"The searching ranges for k and m are as follows: k 2 [1,100] and m 2 [1,10] for the Wieslaw dataset, k 2 [1,100] and m 2 [1,100] for the Australian dataset."
1. Introduction,"The E5 protein potentiates viral gene expression and enhances the malignant transformation properties of E6 and E7, which are major transforming proteins of HPV infected cells [3–8]."
1. Introduction,"Additional support for Öhman’s view comes from electromyographic and neuroimaging studies of unconscious processing of masked facial expressions (Morris et al., 1998; Whalen et al., 1998; Dimberg, 2000; Dimberg et al., 2000)."
,"Despite the very high human density at its eastern edge, the forest is inside the UMNP and is generally well protected (Rovero et al. 2012); 2) Uzungwa Scarp Forest Reserve (US, 314 km) which also covers the steep, east-facing escarpment rising from the Kilombero Valley, and is characterized by continuous cover from lowland, deciduous forest to evergreen moist montane forest."
Results and discussion,"…important role of intragenic and possibly intergenic recombination for the origin of MHC sequence polymorphism is accumulating from population sequence data (Langefors et al. 2001b; Richman et al. 2001, 2003), supporting direct experimental observation using sperm typing (Högstrand and Böhme 1994)."
Methods,"After 30 min, ATP was added as described in step 2; (5) steps 3 and 4 were repeated sequentially using the desired immobilized di- or tri- blocks; (6) after three washing steps with buffer B and 3 more with buffer A, the synthesized chain was released with either SfiI (New England Biolabs) to allow subcloning in the shuttle plasmid pAPG10, or by sequential SfaNI, wash, BbvI digestions to allow subcloning in plasmids already containing a TALEN scaffold."
3. Methods,"Benthic foraminiferal assemblage composition is mainly determined by the interplay between organic flux, bottom and pore water oxygenation, and species competition [van der Zwaan et al., 1999; Murray, 2006; Jorissen et al., 2007]."
1. Introduction,"In contrary to the previous study [4] where they have considered driven atomic coherence, we consider the injected atomic coherence where the three-level cascade atoms are initially prepared in coherent superposition of the top and bottom levels."
RESULTS,"Thus, we could presume these effects were a result of a specific activation via TLR-2 ligand, excluding a role mediated by TLR-4 [28-29]."
Introduction,"Understanding variation in infection avoidance behaviors therefore provides an important functional link between the neurological, behavioral and immunological processes that together govern the spread of disease.(12)"
Discussion,"5–2% in Korea [3, 10] and those patients having glaucoma concurrently with visual impairments, the absolute amounts of selected samples are not that a lot."
DISCUSSION,"A recently published study (23) has also found that even when bacterial numbers returned to normal levels after antibiotic treatment, mice still remained more susceptible to Salmonella serovar Typhimurium infection."
Discussion,"Previous studies in basic training [18,19] and studies in the civilian sector [20,21] have shown that as physical activity increases so does the incidence of injuries."
Appendix A. learning G-PLDA mixture model,"where posterior distributions of the vector h and its covariance matrix are derived from the posterior distributions of the vector z and its covariance matrix (Prince and Elder, 2007) which we will find later at the E-step:"
Methods,"High throughput genotyping of a total of 86 SNPs in the ATF6, FABP1, LPIN2, LPIN3, MLXIPL and MTTP genes was performed using an Illumina Beadstation Genotyping System along with other SNPs that served different genetic analyses within the DiOGenes project."
DISCUSSION,"Hemorrhage causes a biphasic response in SNA, HR, and vascular resistance, with an initial increase and subsequent reduction in these variables (26)."
Methods,The SEER dataset covers approximately 26 % of the United States from 17 cancer registries [9].
Methods,"A full description of the development and validation of the relationship quality assessment tool used by YEP is available elsewhere [1, 17]."
2.2. Chromatographic Separation of the Venom and Identification of Fractions Responsible for Blood Pressure Perturbation,"In order to identify the venom proteins responsible for the perturbation of the blood pressure, the Scorpio maurus palmatus (Smp) venom was separated by column chromatography on Sephadex G-50 gel (Figure 2) [7,9]."
G protein related kinases – general overview,"These receptors are also GPCRs [66], which are desensitized by the phosphorylation by GRK."
Study organisms 84,"All data were analysed using general linear models implemented in the R statistical 228 package (R 2005), and for all models, the significance of the predictor variables was 229 examined hierarchically using a stepwise backward model reduction procedure 230 (Crawley 2007)."
