sectionName,string
Materials and methods,"…in the natal burrow (Hare & Murie 1996) and only littermate kin appear to act as ‘genial neighbours’ providing direct and indirect fitness benefits (Viblanc et al. 2010; Dobson et al. 2012).
data analyses
To investigate the effects of individual kin on energy allocation strategies and fitness,…"
1. Introduction,[4] have recently proposed a scheme for an entanglement amplifier based on a nondegenerate three-level laser when the three-level atoms are injected at the lower level and the top and bottom levels are coupled by a strong coherent light.
Discussion,"maticity, refractoriness and conduction of the heart are conserved between zebrafish and humans [44, 46]."
Discussion,"Specifically, our findings confirm the study hypothesis that a high tendency to forgive is associated with a reduction in PTSD symptoms, as demonstrated in previous findings (Heinze and Snyder 2001; Kaminer et al. 2001; Witvliet et al. 2004; Friedberg et al. 2005; Snyder and Heinze 2005; Hamama-Raz et al. 2008; Weinberg et al. 2014)."
Introduction,"Several studies retrospectively examine underage entry of females into the sex trade (Cobbina & Oselin, 2011; Goldenberg et al., 2014), but few neither include actively underage sex workers nor examine their social and structural HIV risks."
1. Introduction,"Integrate the spectral and spatial information with the time component provides rich information to detail the space variations along the time [Petitjean et al., 2012] and can provide pattern observations, which are not found in single time observations, such as trends and periodicities [Kuenzer…"
5 Related work,"But, solutions to semantic problems are scarce and either require domain knowledge [24, 18, 4, 19] or provide a specific technique [15]."
Methods,"Analysis of variance for repeated measurements (ANOVA) was performed to assess the significance of differences in means between and within the groups and post-hoc analysis with the
Tukey method was performed if any position effects and ⁄ or position-group interactions proved significant by ANOVA [6]."
4. Discussion,"Our results provide guidance to clinicians and patients as they demonstrate that the changes in bleeding and/or spotting days observed following insertion of the LNG-IUS in women with HMB follows a similar pattern to that observed in women using the intrauterine system for contraception [1,4,5,21], except that women with HMB may have more B/S days over the first year of use (see below)."
Methods,"By contrast, the spider monkey has been described as a fruit specialist (Di Fiore et al. 2008; González-Zamora et al. 2009)."
2.1. The Nonimmune Specific Mechanisms That Facilitate,"Although, this sophisticated defence system is weakened with advancing age and even in the absence of overt lung disease [26–31], the intrathoracic dwell time of influenza viruses is increased [29, 32] facilitating any transepithelial migration of the viral particles."
RESULTS,"…used routinely to survey for squid of commercial interest (Jefferts et al. 1987, Goss et al. 2001), but it has been debated whether toothed whales are able to detect squid (Fristrup & Harbison 2002) using echolocation clicks of shorter duration and broader bandwidth (Au 1993, Madsen et al. 2004)."
Results,"The recommended medium for HUES-7 is HUES-C (see Table 1; Cowan et al., 2004), which differs significantly from BG-SK medium."
,Invasive species that cause extinction of native species will ultimately reduce local and global species diversity (Vitousek et al. 1996; Mooney & Cleland 2001; Collins et al. 2002).
Methods,"To control for spatial attention modulation that could be synchronous with stimulus presentation, we required the subjects to perform a visual task superimposed on the fixation square during the entire duration of the scan (Beauchamp et al., 1997; Kastner et al., 1998; Somers et al., 1999; Tootell et al., 1998)."
,"as D90HR CTV (the dose covering 90% of the highrisk clinical target volume) for tumors and D2cc (the minimum dose in the 2cc most irradiated tissue volume) for OAR, have been demonstrated to be predictive of the tumor control probability and occurrence of LSE for OAR [1, 2, 8]."
,"Furthermore, GFP-ATG16L1 precipitated mCherryTMEM74 and endogenous TMEM74 (Figure 2e), conversely, GFP-ATG16(1-320) failed to bindmCherry-TMEM74 (Figure 2f), suggesting that the WD repeats domain of ATG16L1 was required for the interaction with TMEM74."
Negative Pressure − Inspiration,"The position of the inserted PE tube was adjusted such that flow-limitation was reflected in the measured Pn [3, 28]."
2. Methods,"The isolation procedure was performed
 according to the methods used by Xue et al. (2013) [10] and Wang et al. (2015) [11]."
Methods,"N-cadherin was isolated as described (Bixby and Zhang, 1990), and SDS-PAGE protocols have been described (Bixby and Reichardt, 1985)."
1. DNA damage and p53 upregulation,"DNA damage resulting from TNP induced oxidative stress leads to the activation of p53[2-5,29,44,53,54], which triggers cell cycle arrest to prevent proliferation of cells with damaged DNA and ensure genomic stability[55]."
Methods,"We model the breeding attempt as a two-step sequential game, following Smith and Härdling (2000) and Savage et al."
METHODS,"The SR by Bhutta et al (13) was ruled out because it included studies up to 1999, and of the 3 remaining SRs, the 2 most recent were more comprehensive, and of both, the Cochrane
 JPGN Volume 60, Number 4, April 2015
 authorized reproduction of this article is prohibited.
 publication by Lazzerini and Ronfani (14) was chosen because it used GRADE methodology to evaluate the outcome of interest,
 cute diarrhea.
 www.jpgn.org
 Co
 provided more information about the 6 pooled studies for this outcome, and provided as well a more exhaustive assessment of heterogeneity (which was not so high, I2 index 35"
,"CD47 is expressed widely in both hematopoietic cells, including three subtypes of cDCs (Supplemental Figure S3), and nonhematopoietic cells, however.(20,24) We therefore next For personal use only."
Introduction,"2
In addition to these spatio-temporal and socio-demographic dynamics, work in GDTs is also
affected by teams’ geographic configuration, which O’Leary and Cummings (2007) define as the number of geographically dispersed sites and the relative number of team members at those sites, independent of…"
Discussion,"…of the HD-Zip I and II families function as developmental regulators, specifically being involved in regulation of developmental adaptation to environmental stress conditions (e.g. Meijer et al. 1997; Lee and Chun 1998; Scarpella et al. 2000, 2002; Manavella et al. 2006; Komatsuda et al. 2007)."
Introduction,"Others (Zigler and Lessios 2003; McCartney and Lessios 2004; Lessios 2007) have suggested that the pattern is more likely the product of what Templeton (1981) and Noor (1999) have called ‘‘differential fusion,’’ that is, the higher probability that species with differentiated reproductive…"
Discussion,"Also, genes involved in PS II and the light harvesting complex were down-regulated by mild drought at the DZ and TZ1, which is in line with the observation that drought stress results in damage to PS II and photochemistry in mature leaves (Lu and Zhang, 1999; Sperdouli and Moustakas, 2012)."
