sectionName,string
RESULTS,"with and clusters Vang at the apicolateral membrane, and this behavior promotes Vang accumulation on the proximal side of cells in the wing epithelium (Bastock et al., 2003; Jenny et al., 2003)."
Methods,Deprivation status was calculated based on the Small Area Health Research Unit (SAHRU) National Deprivation index [17].
2.3 Perceived reachability,"Perceived reachability (PR) is a relatively new concept in IS/IT research, but has been used with research dealing with wireless technology, for example by Kim and Garrison (2009), who were among the first to incorporate PR into the TAM framework."
4 Discussion,"…be widely distributed in Australia, Brazil, Madagascar, Indonesia, Portugal, Thailand and Venezuela (Crous et al. 2006, 2007b; Hunter et al. 2006; Whyte et al. 2005) and it is also considered a primary pathogen that can affect as much as 70% of the foliage of susceptible trees (Whyte et al. 2005)."
Methods,"LBM is associated with overall functioning and muscle strength [20] in the general population, and among PLHIV its loss has been associated with wasting [21], hormonal dysfunction [22] and decreased quality of life [23]."
"Angela Bowman1 and Roel Nusse1,*","These results are consistent with a known role for Wnt/b-catenin signaling in regulating the cell cycle and cell fate choices of mouse neural progenitor cells (Chenn and Walsh, 2002), but whether FoxM1 plays a role in this nontumor context is unknown."
RESULTS,"Release of a vesicle present in this domain cannot be impaired by a slow calcium buffer such as EGTA, not even in high millimolar concentrations (Adler et al., 1991; Nowycky and Pinter, 1993; Roberts, 1994; von Gersdorff and Matthews, 1994; Mennerick and
Matthews, 1996)."
1 Introduction,"The dynamical stability of periodic (or almost periodic ) solutions in delayed neural networks with discontinuous activation is investigated in [19,22,25-32,50,52]."
Diagnosis of HD in Parkinson’s disease,"…b, Benba et al. 2015; Bocklet et al. 2011; Hariharan et al. 2014; Bakar et al. 2012; Mekyska et al. 2015a; Musa et al. 2015; Naranjo et al. 2016; Orozco-Arroyave et al. 2013a, b, 2014a, b; Rusz et al. 2011, 2013b; Sakar and Kursun 2009; Sakar et al. 2013; Shahbakhti et al. 2013a, b; Shirvan…"
3. Results and discussion,"According to Shakir et al. (2012), the tannery effluents contain xenobiotics, and their chemical composition is complex and dramatically changes in tanning industries."
RESEARCH PAPER,"As mentioned above, MAPT gene exon 10 alternative splicing yields comparable levels of the 3R and 4R tau isoforms.(6) The mutations tested in cells (11C, 12U, 13G, DD-PAC and 16U) increased the quantity of 4R isoforms by 20."
4.2. Origins of deep separations between mtDNA lineages,"When phylogeographic transitions coincide with geography, as with the separate distributions of lineages A and B-C, divergence in isolation is a sound explanation (Avise, 2000)."
Methods,Content validity was examined by 9 experts with clinical service of more than 15 years each.(12) The internal consistency was estimated with the use of Cronbach’s coefficient alpha.
4. Discussion,"Our results confirm the important role of themedial temporal lobe network in the processing of emotional stimuli [5,6,7] and are consistent with evidence that refractoriness of theMTLEmay result in dysfunction of that network [26–29]."
Discussion,"A “fixed but rotating” scapular model is obviously an oversimplification since the scapula may translate due to the sternoclavicular and acromioclavicular joints (van der Helm, 1994)."
Discussion,"Progress in finding a treatment for tinnitus has been hampered by the fact that tinnitus represents a highly heterogeneous condition (Schecklmann et al., 2012a, 2013)."
,"SMCIs have fast kinetics (on rate: 10(8) M 1 s (1), off rate: 100–370 s 1 (28, 29)), low pH and Mg sensitivity (28), relatively high dynamic range (FhighCa/F0Ca 1⁄4 6–40), and two-photon excitation cross sections in the range of 2–12 GM (30, 31)."
Introduction,"Open plating of the medial aspect of the distal tibia caused a statistically significant greater disruption of the extraosseous blood supply of the metaphyseal region than percutaneously applied plates [1, 7]."
B. Comparison of Different Training Data Periods,The previous section showed that the [5] method yields the lowest MAPE among other methods no matter what training data were used; one year or two years.
Discussion,"Our result is consistent with those of two similar kinds of studies done in other regions of Ethiopia [15,16]."
2. Methods,"During one study visit, patients were interviewed, examined clinically and assessed with FRDA rating scale (FARS) [7], including staging of global functioning, questions on
Ygland et al: Friedreich ataxia p.R165P point mutation 4
activities of daily living (ADL), neurological examination as well as the 9-hole peg test and the PATA speech test."
2. Methods,"This strain shows accelerated age-related hearing loss (Henry and Chole, 1980; Hunter and Willott, 1987; Mikaelian, 1979; Spongr et al., 1997; Willott, 1986). This can begin as early as 2 months of age, although audiometric evidence of hearing loss appears w3 months. Taberner and Liberman (2005) compared auditory nerve fiber responses between C57bl/6 (w4 month) and CBA strains (age between 2 and 4 months) and found no differences in spontaneous rates, tuning curves, rate versus level functions, dynamic range, response adaptation, phase-locking, and the relation between spontaneous rate and response properties."
Methods,"We had initially also used the Chalmers scale [17,18] but abandoned it when the reliability between data abstractors was very poor."
Methods,"Details of the device characteristics, function and the approach to surgical implantation have been described elsewhere.(7) Patients on pulsatile-flow"
Methods,Constitutive heterochromatin (CH) was detected using barium hydroxide (Sumner 1972) and the NORs were detected using silver nitrate staining (Howell and Black 1980).
,"Recently, Lie and Alsop (2009) found that punishers had parallel but opposite effects to reinforcers using a signal-detection task with human participants."
,"The author’s rebuttal to the delusional parasitosis literature referenced above, especially that of Shelomi [8] is in 4 sections."
,"58% of ethnically matched control chromosomes.(8) Examination of the dbSNP shows that the frequency of the rs6746030 polymorphism in control samples is ethnicity dependent: American Caucasians of European descent, 12."
1. Introduction,reported that increased eNOS Thr495 phosphorylation leads to decreased NO production and vasodilation and is associated with hypertension.(28) –32 Whether IL-17 affects eNOS Thr495 phosphorylation and endothelial function is unknown.
4 SINGLE-PHOTON PROCESSING ANDREADOUT,Between row readouts the pixels can continue accumulating counts if a local counter is present on-pixel [103].
Discussion,"However, some other studies did not support using 18S rRNA gene for species delimitation [28,47,48]."
1. INTRODUCTION,"We are interested in exploring BPC recognition to aid in the placement of segments in a segment-based speech recognition system in noisy conditions, one idea which was initially demonstrated in [11]."
Results,"As TrkB-FL mediates the majority of BDNF’s functions, we next
examined the influence of BDNF on myelination in the presence of the Trk receptor inhibitor K252a (Knüsel and Hefti, 1992)."
Introduction,"…et al., 2008;Yang et al., 2008; Reyes and Vidal, 2015), seasonal variation (Tunçsiper et al., 2015, Reyes and Vidal, 2015; Gorra et al., 2014), pH value (Tao et al., 2012; He et al., 2012), and the presence and type of vegetation (Huett et al., 2005; Gottschall et al., 2007; Comin et al., 1997)."
2 Stimulus-Specific Adaptation,"SSA responses have also been discovered in auditory thalamus (Anderson et al., 2009) and auditory cortex (Von der Behrens et al."
Discussion,…clear differences in behavior toward family members and friends (Hamilton 1964; Roberts 2010) and is consistent with previous studies that have found an increase in closeness to parents occurring during the transition to university (Kenny 1987; Pipp et al. 1985; Sullivan and Sullivan 1980).
INTRODUCTION,"Initial empirical evidence suggests that a clinical sample of patients with schizophrenia found it easier to reason in the first than in the third person (Bosco et al., 2009a)."
Discussion,"…control conditions (e.g., Hinton et al., 2004; Kudo et al., 2004; Pouthas et al., 2005), those that have highlight the role of the pre-SMA, IFG, and putamen in processing specifically temporal information (Coull et al., 2004, 2008; Harrington et al., 2010; Morillon et al., 2009; Rao et al., 2001)."
Cognitive funCtions and mood,"…cognitive impairments, for instance in the fields of memory, executive functions and attention, their psychomotor functions showed no discrepancy (Porter et al., 2003).
impliCit learning
Besides working memory, another important component of cognitive functions is implicit learning, which is the…"
Methods,"One series of sections was Nissl stained with cresyl violet, whereas a second series of sections was processed to visualize the marker SMI-32, as previously described (Wannier et al. 2005; Beaud et al. 2008)."
Discussion,"It has been shown, both in humans and in our experimental animal model of MS, that in this condition there exists a state of low-grade inflammation and an altered inflammatory/stress regulation [12‚Äì14, 34]."
INTRODUCTION,Scp160p acts in concert with the eIF4E-binding protein Eap1p in the so-called SMY2EAP1-SCP160-ASC1 (SESA) network to inhibit translation of POM34 mRNA in response to spindle pole body duplication defects (11).
Results,"Contralateral and ipsilateral motor responses were predominantly elbow flexion and wrist extension, similar to a previous report (Neafsey et al., 1986)."
4. Discussion,"Previous studies have demonstrated that shorter exposures can disrupt recall performance due to incomplete encoding of the memory array, resulting in increases in both swap errors and guessing (Bays et al., 2009, 2011; Emrich & Ferber, 2012)."
Introduction,"Otherwise numerous CCK2 agonists, including Boc– CCK-4, BC197 (Derrien et al. 1994; Ladurelle et al. 1997)"
Kinetic analysis,"…largest features in the 150-ms amplitude spectrum correspond to a loss of spectral features previously attributed to hK (Rothschild et al., 1988; Dioumaev and Braiman, 1997a), and a gain of features previously attributed to hL (Rothschild et al., 1988; Walter and Braiman, 1994; Chon et al.,…"
METHODS,"The CB served as positive control tissue for mGluR1, mGluR2, and mGluR4 (15, 30), whereas the OB prominently expresses mGluR6, mGluR7, and mGluR8 (5, 23, 27)."
Introduction,"The neuro-protective efficacy of this drug has been reported after different types of lesions in-vitro (Hutter-Paier et al., 1996a,b) and in-vivo (Akai et al., 1992; Masliah et al., 1999; Schwab et al., 1997)."
Background,"Nevertheless, this downward trend is not observed among HIV-1 infected patients [2, 3]."
The Mutants P445H and D450E Interact with ALK4 but Are Not Phosphorylated,"…Smad4 into a Nuclear Complex with FAST-1
Upon activin stimulation, Smad2 associates with Smad4, accumulates in the nucleus, and interacts with the DNAbinding protein, FAST-1 or FAST2 (reviewed in Attisano and Wrana, 1998; Kretzschmar and Massagué, 1998; Heldin et al., 1997; Whitman, 1998)."
METHODS,"Group-specific primers for Bacteroidales order, Lactobacillus sp., Bifidobacterium sp., and Clostridium sp. were obtained from Wlodarska et al.46 and Prevotella sp. were obtained from Matsuki et al.47 Expression analysis was carried out using the Bio-Rad CFX manager 3.0 (using the DDCt method for relative normalized expression and DCt for relative expression)."
INTRODUCTION,"In the model-interpolation method [1], an under-trained triphone is re-tuned by interpolating the model with others of less contextdependency , i.e. the left-context, right-context and/or context-independent models, which can be trained more reliably."
5. Discussion,"This result is similar to those found in studies carried out in clinical/surgical ICUs, where coagulation failure (≤50,000 platelets) did not significantly affect the prognosis of the patient [9, 28, 38]."
Background,M1R are mainly distributed in the peripheral lung tissue and in the alveolar walls [16] within parasympathetic ganglia and regulate cholinergic transmission [20].
Introduction,"BmCatD-RNAi also inhibited the programmed cell death of larval gut during pupal stage (Gui et al., 2006)."
Novel Quantitative Trait Loci for Seminal Root Traits in Barley,"Interestingly, the RAQ2/RNQ4 region on 5HL is identical to the major QTL previously detected for grain dormancy (i.e., qSDND) in the ND24260  Flagship DH population (Hickey et al., 2012), with the allele for both QTL (i.e., grain dormancy and RAQ2/RNQ4) donated by ND24260."
3. Gaussian mixture and Gaussian mixture-of-experts,"Specifically, Step 1 implements the coordinated competition (Xu, 1998a), which has different simplified forms for specific qðxly; ‘Þ and qðy;‘Þ: For the case of Eq."
RESULTS,"While beaked whales and large delphinids produce clicks with comparable energy flux source levels (Madsen et al. 2004, Zimmer et al. 2005, Au et al. 2007), they may hunt in quite different ambient noise environments."
2 Methods,These values lie in the range of average moment arm values for the index finger reported in An et al. (1983) and Valero-Cuevas et al. (1998).
