sectionName,string
Methods,"Participants were monitored for deaths and hospital admissions using the Western Australian Data Linkage System.9
 For the present study, we excluded men with missing information on key variables (n=54); those with extreme SBP values (<80 or >250 mm Hg; n=6); those with a history of heart disease (n=3419) or stroke (n=1735) at baseline, to limit the effect of reverse causality; and those with an abdominal aortic aneurysm (‚â•30 mm in diameter) identified at screening (n=875) because these individuals are likely to have received medical intervention to address their risk of a major vascular event."
Discussion,"…the invasive pathogen, Listeria monocytogenes, induces the mono-ubiquitination of receptors – hepatocyte growth factor receptor (HGFR) (Veiga and Cossart, 2005) and E-cadherin and triggers the recruitment of clathrin and caveolin-1 to entry foci (Bonazzi and Cossart, 2006; Veiga et al., 2007)."
"4.1. CFF, FUF and clinical parameters","If not, a dysfunction in the cerebral processing of oscillatory visual stimuli is very likely, which is assumed to lead to the observed deficits in HE-patients (Timmermann et al., 2008)."
Methods,Comorbidity was quantified by adding the scores assigned to specific diagnoses in the Charlson Comorbidity Index (CCI) [14].
2. Results and Discussion,"are the most widely studied as sources of insecticidal and/or repellent oils and are also the ones most commonly found in commercial formulations for this purpose [18,19]."
1 Introduction,"The second issue concerns education productivity estimation literature that uses international test data for high school students (e.g., Heyneman and Loxley (1983), Hanushek and Luke (2001))."
Results and discussion,"If the purified proteins are used for mass spectrometric analyses, elution from streptavidin beads is not required because trypsin digestion can be performed efficiently on bead-bound proteins and the released peptides can be analysed by mass spectrometry (Guerrero et al., 2005; Kho et al., 2004; Rybak et al., 2005; Tagwerker et al., 2006)."
4 Implementation,"Each node joins a cluster and the cluster elects a leader in a multihop, distributed manner [15]."
Results,"neoformans cells vary in size, from cells less than 3 μm in cell body diameter to cells more than 100 μm in diameter (Feldmesser et al., 2001; Okagaki et al., 2010; Zaragoza et al., 2010; Alanio et al., 2015)."
Results,"Overall Leptospira infection prevalence reported in black rats tested by PCR ranged from 11 0% to 65 8% (n = 6; number of animals: median = 79, range = 33–141) [85, 86, 92, 103, 118, 124]."
Methods,"In using the report to categorize a participant’s attentional state in the 10–15 s immediately prior to the report, this methodology has been used to demonstrate reliable and replicable differences in neurocognitive functioning between on-task and mind wandering states (e.g., Christoff et al. 2009; Franklin et al. 2011; Kam et al. 2011, 2012, 2013; Kirschner et al. 2012; Mason et al. 2007; McKiernan et al. 2006; Smallwood et al. 2008a, b; Stawarczyk et al. 2011)."
Discussion,"Mutations in the dally locus encoding the Drosophila homolog of a human glycoprotein have been shown to result in numerous developmental defects, some of which are associated with alterations in dpp signaling (Haerry et al. 1997)."
Discussion and conclusions,"It was also observed that CP treatment increased BUN and creatinine levels (Sadzuka et al., 1992; Mansour et al., 2002)."
,", 2009) but also induces genes involved in synapse formation andmuscle atrophy (Cohen et al., 2007; Moresi et al., 2010; Tang et al., 2009)."
Discussion,"Catecholamines, and particularly DA, are believed to increase the efficiency of cortical processing by augmenting the signal to noise (S:N) ratio, or the gain within cortical networks [4,37–39]."
Present Address:,"We recently described the promoter of the mouse and human SCN8A genes, which contain a cluster of four mutually exclusive 50 noncoding exons, exon 1a to 1d, each of which is spliced directly to the first coding exon (Drews et al. 2005)."
Discussion,"High GPx levels we obtained in group 4 (selenium-supplemented swimming) may seem as an expected result, and are in harmony with the results of the researchers cited above [8, 29, 33]."
Introduction,"…for ptDNA may be complicated by the presence of NUPTs (nuclear sequences of plastid origin) (Roark et al. 2010; Kumar and Bendich 2011; Zheng et al. 2011), and the same difficulty may be faced in measuring mtDNA due to NUMTs (nuclear sequences of mitochondrial origin) (Timmis et al.…"
Introduction,"Of the beneficial actions of garlic, such as antitumorigenesis, antiatherosclerosis, blood sugar modulation and antibiosis, inhibition of the growth of cancer is perhaps the most notable (5)."
Methods,"This hypothesis was based on the evidence in the literature for significantly worse performance of adult CI users compared with adults with NH in the perception of pitch, timbre, and in the recognition of familiar melodies, as measured with music perception tests (Brockmeier et al., 2011; Kang et al., 2009; Looi, McDermott, McKay, & Hickson, 2008)."
5. Discussion,"These estimates can be used in transmission models to assess the potential effect of the intervention on a community level (Longini et al., 2004, 2005)."
7 Discussion,"…consistent with such a mechanism is supplied by the SSA studies performed in subcortical regions where the responses of adapting units are phasic, being typically restricted to the first 50 ms of the tone or less (Anderson et al., 2009; Malmierca et al., 2009; Pérez-González et al., 2005)."
