sectionName,string
Background,"PAR has been described using the image of a spiral (Williamson et al., 2004), and various authors report the suitability of the application of this method to the management of change within organizations (Coghlan and Casey, 2001; Coyer et al."
METHODS,"The CatWalk system provides a detailed analysis of gait, which has been described in detail elsewhere.(15) A detailed gait analysis was made using the CatWalk system at 3 hours before injury, and at 12 hours; 1, 2, and 3 days; and 1, 2, and 3 weeks after muscle contusion."
Discussion,High methane emissions from water-saturated soil have been demonstrated in numerous studies (Dinsmore et al. 2009; Askaer et al. 2011; Yang et al. 2013).
Discussion,"…Dynamics in Other Polyploids
The types of complex genetic interactions between duplicated homeologous loci which are possible after polyploidization are best documented in plants, where allopolyploidy in particular is a pervasive phenomenon (Otto and Whitton 2000; Wendel 2000; Doyle and Egan 2010)."
3. Experimental Methodology,2 of our ISCA 2012 paper [66] shows that the performance improvement of our three mechanisms over a subarray-oblivious baseline increases with a greater number
Background,Emab inhibited IL-6 and tumor necrosis factor alpha (TNF-α) production of blood B cells isolated from healthy donors and SLE patients in response to BCR crosslinking alone or in combination with TLR9 ligand CpG [56].
METHODS,"Electroretinograms (ERGs) were recorded under controlled conditions that conformed to the standards of the International Society of Clinical Electrophysiology of Vision.(15) Briefly, photopic ERGs were elicited by a single flash or a 30-Hz flicker stimulus of red light under light-adapted conditions (cone-isolated responses); a dim blue flash under darkadapted conditions (30 minutes) was used for the rod-isolated ERGs (rod-isolated responses); and a bright white flash (intensity of 1."
Methods,"the spin order from the symmetrization order of the nascent protons to the 13C nucleus [11,24]."
DISCUSSION,"This result was in accordance with the
findings that oxidation could impair water-binding in meat (Huff-Lonergan and Lonergan, 2005; Morzel et al., 2006)."
,"Non-systematic reviews “Review” Methods Although there is no single database reliably showing the true number of SRs or RCTs [6], we used PubMed as the basis of our search."
1. Introduction,"Yager [32], Kacprzyk and Yager [7], Kacprzyk, Yager and Zadro ny [8, 9]) whose essence is that a set of data, e."
Methods,"This project had 4 distinct interventions: (1) literature review, (2) product selection, (3) policy and operational changes, and (4) staff training."
Results,"cells are highly metastatic to the liver, while Caco-2 cells do not induce liver metastasis when intrasplenically injected into nude mice (39,40)."
Methods,"‚Ä¶double blind crossover pattern separated by 7 days, which has been previously demonstrated to allow suYcient time to ensure that there are no eVects of previous supplementation on subsequent blood hormone and chemical analysis (Brown et al. 1999, 2000b, 2002; King et al. 1999; Earnest et al. 2000)."
2. METHODOLOGY,"A selection of real-time beat tracking algorithms have been developed that might be suitable for such a task, including B-Keeper [19], a specialised drum tracking system, IBT∼ [20], a multi-agent system based on Dixon’s Beatroot [21], and btrack∼ [7] and beatseeker∼ [8] which use autocorrelation."
INTRODUCTION,"The next communication [2] considered the most general characteristics of the parameter of spa tial EEG synchronization (the average in each of the fre quency bands of the EEG’s coherence value), such as multiplicity, directedness, and reproducibility of varia tions of this parameter owing to the change of state of the subjects."
Discussion,Other plant D-type cyclins contain putative phosphorilation sites at similar positions in regions rich in these amino acids (Menges et al. 2007) but their functionality and their potential biological roles are unknown.
1. Introduction,"Pro-inflammatory cytokines can further impair synaptic plasticity by inhibiting production of neurotrophins like BDNF, inhibiting long-term potentiation, and altering the architecture of dendrites (Jurgens et al., 2012; Lynch, 2002; Milatovic et al., 2003; Richwine et al., 2008; Tong et al., 2008)."
3 Methodology,"An iterative backward Ring model (Sioris et al., 2002) is used to remove the Ring effect from OS limb spectra, before performing the DOAS LSQ fit."
Discussion,"As another well-known difference in clinical presentation between patients with HSH and FHHNC, serum PTH levels are inappropriately suppressed (<3 pg/mL) or below normal (5–12 pg/mL) in HSH patients during phases of severe hypomagnesaemia, whereas they are usually elevated in patients with FHHNC [2], which can also be seen in our cohort."
5 Experiments,"Their scoring method involves the use of fine-grained POS tags, the Stanford Temporal Tagger (Chang and Manning, 2012), and a number of heuristic rules, which resulted in a confirmation that tense agreement statistics are predictive of implicativeness, illustrated in part by observing a near perfect separation of a list of implicative and non-implicative verbs from Karttunen (1971a)."
1 236 (34.1) 0.80 (0.68–0.95) 0.84 (0.71–1.01) 130 (36.9) 0.90 (0.72–1.13) 0.88 (0.70–1.10) 4403 (38.9),"Currently, the term of parity refers to the numbers of maternal parturition processes of live birth [15]."
Discussion,"We also found that most spa t437 isolates belonged to SCCmecIV, SCCmecVT, and ST59, similar to the results of a previous studies on CA-MRSA [7,49,50]."
Discussion,"…by changes in cyclin–
CDK complexes, and if control of the cell cycle is disrupted, progress through the cycle might be stimulated by overexpressed cyclins, enhanced CDK activity or inactivated CDK inhibitors (Hunter and Pines, 1994; Sherr, 1995; Malumbres and Barbacid, 2001; Chulu and Liu, 2009)."
METHODS,"In the present modeling study, as in the physiological study by Kawase et al. (1993), the stochastic variability associated with neural spike counts was used to predict perceptual ability based on single AN fibers for both detection and discrimination tasks."
Results and discussion,"The gradient of VS with pressure becomes less steep above 40 GPa in contrast to its trend at lower pressures, which appears similar to the behavior of SiO2 glass (Murakami and Bass 2010) and MgSiO3 glass (Murakami and Bass 2011) (Fig."
