sectionName,string
Discussion,"The biological processes underlying physiological hypofunction of the salivary glands is not yet well understood, although the involvement of ROS is suspected [1-4]."
Results,"nidulans, we made use of a simple but straightforward approach as it had been described recently (Ray et al., 2004)."
Discussion,"In contrast to our results, one study reported that high AI correlated with poor survival of MPM patients [31], but the overall prognostic significance of apoptosis in cancer remains unclear [33, 34]."
1. Introduction,"Moreover, these general network properties were demonstrated to have great impacts on the networkbased problems, such as traffic transport [12, 13, 14, 15, 16], epidemic spreading [17, 18, 19, 20, 21], network attacks [22, 23, 24, 25, 26, 27, 28], synchronization [29, 30] and control [31, 32, 33, 34, 35, 36], link prediction [37, 38, 39], etc."
Discussion,"Oxidative damage of telomeres along with a general damage of DNA because of aged and thereby inefficient mitochondria could be an explanation (Chen et al., 1995), although contradictory results have been published on this matter (von Zglinicki et al., 2000; Britt-Compton et al., 2009)."
4. Discussion,"The STSS is thought to be mediated by the release of SPEs and other antigens, which function as superantigens (Proft et al., 2003; Marrack and Kappler, 1990; Talkington et al., 1993; Baxter and McChesney, 2000; Eriksson et al., 1999; Darenberg et al., 2004; Norrby-Teglund et al., 2005; Zurawski et al., 1998; Ekelund et al., 2005)."
4.4 Experimental settings,"The PPR and PRA-based approaches, together with the baseline, have been applied over graphs 1 and 2 (without and with SVO-inferred relationships, respectively)."
,", 2008), high-order partial differential equations (Bai and Feng, 2007; Moraschi et al., 2010), diffusion tensor Enhancing quality in Diffusion Tensor Imaging with anisotropic anomalous diffusion filter"
Discussion,"Moreover, the key regulator of Fe homeostasis, Fur, is also directly regulated by PerR at the transcriptional level (Fuangthong et al., 2002)."
1 Introduction,"We generalize the model of Parke (1999), and it appears that fractional orders of integration at the seasonal frequencies may be caused by aggregation of seasonal duration processes."
Introduction,"…cocaine seeking progressively increases over the first months of withdrawal from extended-access cocaine self-administration and remains elevated even 6 months after the last exposure (Neisewander et al., 2000; Grimm et al., 2001; Lu et al., 2004b; c; Sorge and Stewart, 2005; Pickens et al., 2011)."
BMI As a Measure of Body Fatness,"The finding that BMI is closely related to TBF and PBF derived from DXA is compatible with several previous investigations in children over a wide age range and in adults (7, 13, 14, 16, 22, 24, 30, 32, 36)."
4. Discussion,"The results of the present dead weight noise testing indicate that the ‚ÄòCoP path velocity‚Äô noise of the WBB (4.1‚Äì5.3 mm s 1) is considerable, which is in accordance with Pagnacco et al. (2011)."
Methods,"However, our previous data on healthy paediatric patients (age 3 to 18 years) undergoing catheterisation for atrial septal defect closure resulted in a transfer function with the same peak at the fourth harmonic as demonstrated by Nichols and O’Rourke [8] suggesting the validity of this technique [9]."
RESULTS AND DISCUSSION,"…the growth of not only Bifidobacteria, but also of strains belonging to the Bacteroidetes and Actinobacteria phyla, while
inhibiting Firmicutes strains (especially Clostridium) (Martinez et al., 2010), which is consistent with the presented results on the dietary fiber K1 and K2 preparations."
3 Empirical Evaluation,(Notice that opponent spatiotemporal energy magnitude will be relatively large in response to a locally coherent motion [34].
Introduction,"In addition, we recently demonstrated the important role of another 89-kDa periplasmic protein localized in the invasion tip during bacterial escape from the host digestive vacuole, migration through the host cytoplasm towards the target nucleus, and invasion into the macronucleus (Iwatani et al., 2005)."
DISCUSSION,Our results regarding cortisol are in line with several studies showing that sleep deprivation elevates cortisol levels.(34)
DISCUSSION,"Prior findings of a strong correlation between exposure to a pathogenic environment and CRP in the CLHNS sample provided impetus to further examine gene-by-pathogen interactions on CRP level [9, 10]."
2. Method,"Our proposed algorithm seeks to improve upon the performance of several existing algorithms, including ABS [47, 48, 18, 43], local principal component analysis (PCA) [5], local adaptive singular value cancellation (aSVC) [1] and non-local aSVC [1, Section 3."
Discussion,", 1998) and human (Straiker et al., 1999; Porcella et al. 2000) ciliary bodies of signi®cantly detectable levels of CB1 transcripts and proteins."
DISCUSSION,"These findings are in concordance with previously published studies suggesting a negative impact of Af sensitization in CF.15‚Äö√Ñ√¨17 Af sensitization likely facilitates CF-ABPA and multiple factors, including degree of fungal exposure, mucus viscosity, immune status, atopy and age may also have interdependent roles.12,32,39 Other factors, such as HLA-DR/HLA-DQ subtypes and the presence of single nucleotide polymorphisms
 14
 in the IL-4 binding site of IL-4 receptor alpha have also been described to associate with development of ABPA.40‚Äö√Ñ√¨42 Longitudinal studies are needed to confirm that Af sensitization routinely precedes ABPA."
Literature review,"In this sense, accidentally encountered information is also always algorithmically framed and often personalised by for example previous searches and geographical location (e.g. Abel et al., 2011; Feuz et al., 2011; Hannak et al., 2013)."
1. Introduction,"The involvement of the clock in Pai-1 gene regulation has been described (Maemura et al., 2000; Minami et al., 2002; Schoenhard et al., 2003; Oishi et al., 2005a; Chong et al., 2006; Oishi et al., 2007), although the precise molecular mechanism on how the clock regulates the intrinsic daily…"
RESULTS,"In contrast to most plant PPR proteins identified so far, which contain 12 PPR repeats on average (Lurin et al., 2004; Tourasse et al., 2013), PPR7 consists of only four PPR units, followed by a very short, positively charged conserved tail (Supplemental Figure 1)."
Results,"Second, we have previously shown that STAT3 expression was not changed by modulating RKIP expression in 293T cells [60] and third, because 293T cells have a higher transfection efficiency with the plasmids we were using, especially under the serum free conditions used in the experiments described below."
Appendix,"Several authors (Anderson et al., 2009; Malmierca et al., 2009; Ulanovsky et al., 2004, 2003) use the normalized frequency difference:
f norm, f2 − f1√
f1 f2 (A.1)
where f1 and f2 have Hertz units, while others use the octave frequency separation (e.g., Von der Behrens et al., 2009)."
Introduction,"These polyphenols and other components have been described as having antioxidant (5), pro-oxidant (6), tumor inhibitory (7,8), antiapoptotic (9), antiangiogenesis (10,11), antiestrogenic (12,13), epigenetic (14), and other potentially chemopreventive properties (1,3,4,15,16)."
METHODS,The methods of research are described in most detail in [1]; the methods of measurement and analysis of EEG coherence are described in [2]; brief information about their most essential elements is given below.
2 Methods,"In this study, we restrict perturbations of the kinematic environment to rotations of the visual feedback of the position of the end-effector, since this kind of transformation is well studied in both healthy human subjects and those with neurological disorders (Pine et al. 1996; Contreras-Vidal and Buch 2003)."
INTRODUCTION,"quantification of RAM in the biological fluids including liquid chromatography-tandem mass spectrometry (LC-MS/MS) (Gupta et al., 2011; Pilli et al., 2011; Patel et al., 2014), high performance"
INTRODUCTION,"Moreover, two distinct types of regulated secretion have been distinguished in neuronal and neuroendocrine cells (Kelly, 1993)."
Discussion,"Despite significant variation in the prevalence of unhealthy weights, results of this study are comparable to previous studies [14,16,49] showing the existence of the double burden of malnutrition in the seven African countries."
Main text,"In addition, more than three quarters of 97% OTUs in these proteobacterial classes contain SSU rRNA genes detected in PCR-based studies and appear in the SILVA database [12]."
Discussion,"These spatial variations in the sedimentary regime will drive coral species distributions depending on coral tolerances to sediments [16,17]."
2. Results and Discussion,"zeamais, which could be an attractive alternative considering the great potential of the oil as insecticide and repellent, particularly because it is rich in monoterpenes [18]."
METHODS,"Binding of C2 domains (C2A, C2B, and C2AB) of SYT2 to phospholipids was measured according to previous descriptions (Fernandez et al., 2001; Fernandez-Chacon et al., 2002; Shin et al., 2003; Schapire et al., 2008)."
II. SYSTEM MODEL,"A discussion of particular channel estimation techniques is beyond the scope of this paper, therefore without loss of generality, we use the least-square (LS) channel estimator [14] in Sections IV and V due its widespread adoption in OFDM systems and low computational complexity."
2 Method,"In addition, according to [6], instead of performing gradient descent based on Wh, we can compute the following formulation as:"
Plasmid constructions,"All katanin derivatives were PCR amplified from the human p60 (McNally and Thomas, 1998) or human p80 (Hartman et al., 1998) cDNAs previously described.
p80 derivatives The WD40 domain of p80 (WD) consisted of amino acids 1-304, WDpro consisted of residues 1-484, pro-con80 consisted of residues…"
Discussion,"The effect of VEGF on glutamatergic transmission is still controversial, with evidence
for both inhibition (McCloskey et al., 2005) and enhancement (Kim et al., 2008)."
,"Heavy metals contamination of Bohai Bay in the past few years have been investigated (Zhang et al. 2002; Hua et al. 2005; Wang et al. 2005; Wang and Li 2006; Wang and Wang 2007; Liu et al. 2007; Meng et al. 2008), however, no comparison was available to show the spatial and temporal distribution of heavy metals in the bay sediments in an 11-year duration."
1. Introduction,"First, we prove that deciding whether a set of vertices of a graph G is a clique-transversal is Co-NP-Complete, a problem whose complexity is mentioned as open in [11]."
Introduction,"Evidence in the literature suggests that a non-CB1 receptor exists on excitatory
terminals in the hippocampus (Hajos and Freund, 2002; Rouach and Nicoll, 2003), but this remains controversial (Hoffman et al., 2005; Kawamura et al., 2006; Takahashi and Castillo, 2006)."
,"This is troubling because hyperinsulinemia, a hallmark of insulin resistance, is considered a likely biological mechanism of increased risk for colon cancer and adenoma [1, 21]."
DISCUSSION,"These measures provide important, but indirect, data on personal income, and may suffer from the “ecologic fallacy” of misclassifying income level on the basis of geographic economic factors, which can lead to substantial measurement error (22,23)."
,"Alternative splicing of exon 10 produces 2 tau protein isoforms, 3R (without exon 10) and 4R (with exon 10), and a healthy brain includes similar levels of 3R and 4R.(6) One study reported that the MAPT gene region that includes the 30-end of exon 10 and 50end of intron 10–11 is self-complementary and forms a hairpin (regulatory hairpin)."
Discussion,"4 tend to reach a ‘‘plateau’’ and do not converge at the same point, even though no spontaneous reactivation is detected (Estévez and Vilanova 2009)."
DISCUSSION,The increased ODC1 expression after fadrozole treatment may indicate an enhancement of the ODC/polyamine system and/or suggests a new pathway for E2 to regulate GABA production in addition to the known effects of E2 on glutamic acid decarboxylase in goldfish (46).
Introduction,"Given their relatively low species diversity, biofilms growing within acid mine drainage (AMD) environments are a model system for the study of ecological processes in natural environments using ‘omic’ techniques (Denef et al., 2010a)."
General Discussion,"The fact that others have shown that continued experience or exposure can modify when perceptual narrowing (or perceptual attenuation) occurs (Pascalis et al., 2005; Scott & Monesson, 2009), and the current results that perceptual discrimination is possible after narrowing has occurred, demonstrate…"
Results and Discussion,"This result might explain why high IFP is associated with poor prognosis in human cancer (4, 21, 22)."
Methods,"Climatic data
Large scale climatic conditions have been shown to affect avian productivity in general (Nott et al. 2002)."
Introduction,"…construction site visit, site trainings, computer games and simulations, and problem-based learning, Though roleplaying is not a popular pedagogical approach adopted in construction education, it has major benefits and potentials for improving students‟ learning (Bhattacharjee & Ghosh, 2013)."
2.5. Divergence time estimates,"To get a rough approximation of the divergence time for the main phylogroups, we used both the higher and the lower sequence divergence rates proposed by Pinho et al. (2007) for the ND4–tRNALeu mitochondrial fragment (2.78% and 1.74% per million years, respectively)."
Results,This is in agreement with a previous finding that wt CLN5 is stable in cells [12].
Oligodendrocyte development,"Additionally, MeCP2 has been implicated not in inhibition but in the promotion of activity of some genes(Chahrour et al. 2008)."
2.4.4. The microbiome in relation to stress and immunity,"Differences between the immune function of males and females have also been reported for birds (Romano et al., 2011), reptiles (Svensson et al., 2009) and fish (Hoeger et al., 2005)."
1. Introduction,There is strong evidence that accumulation of Aβ peptide is responsible for age-related memory decline in these mice [5–7].
4.1 Introduction,"DCS is preferable to External Storage (ES) at the base station, especially when there are many types of event to detect and report, and not all event types are queried often in a large network [56]."
Discussion,"6A) do not follow the characteristic dipper function found for superimposed masking (Legge and Foley, 1980; Foley, 1994)."
DISCUSSION,"Given that normal hippocampal functioning is essential for both episodic AM and everyday memory (Vargha-Khadem et al., 1997; Isaacs et al., 2000), we also examined the effects of age and sex on everyday memory in order to determine whether
the results would be similar to those observed in episodic…"
5 Discussion,"These results are aligned with the claims made by authors such as Kampenes et al. (2009), Jackson (2002), Gro√É√†nniger et al. (2007), Petre (1995), as it was discussed in Sect."
3. Methods,"…as:
P xið Þ ¼ e aþ Pn j¼1 bjxij
1þ e aþ Pn j¼1 bjxij
: ð1Þ
Here P(xi) is the probability of detection (0–1) of MODIS pixel i based on the linear combination of ASTER fire pixel summary statistics ( j=1,n), and α and βj are parameters derived from the data (Agresti, 1990; Morisette et al., 2005b)."
Discussion,Nitrogen levels in the medium also influence the transcription of the ech42 endochitinase gene (Donzelli and Harman 2001).
Methods,"The electrode locations, acquired with a post-implantation CT were projected on the T1weighted individual anatomy scan (Hermes et al. 2010)."
