,label,sectionName,string,classification
1,background,Novel Quantitative Trait Loci for Seminal Root Traits in Barley,"In the study by Hickey et al. (2012), spikes were sampled from the field at the point of physiological
robinson et al.: genomic regions influencing root traits in barley 11 of 13
maturity, dried, grain threshed by hand, and stored at −20C to preserve grain dormancy before germination testing.",method
7,background,Discussion,"Also, results demonstrated that the molecular weight and G/M ratio were important factors in controlling the antioxidant properties of sodium alginate (Şen 2011).",result
8,method,1. Introduction,"Recently, the light-induced method, which is based on the changes of surface wettability of certain materials [12], has been developed and provides amore convenient approach for cell harvesting [13].",background
12,background,RESULTS,The remnant of the total plasma membranes after extraction of caveolae is called bulk plasma membranes (40) (Fig.,method
19,method,GO (cellular component),"Clinical reports of energetic stress in HCM hearts (14, 15) prompted us to measure mitochondrial respiration, mitochondrial copy number, ROS emission/scavenging, and calcium handling in these 2 HCM mouse models.",background
34,result,DISCUSSION,"More examples of contradictory results have been observed in bovines; some reports (Zakhartchenko et al., 2001; Bhuiyan et al., 2004) indicated a significant decrease in blastocyst",background
39,result,Discussion,"The occurrence of soft tissue tumors in such field of low-dose irradiation (LDRI) has also been emphasized by other authors [50, 52, 53] reporting the development of tumors of the skull bone and neck after exposure to full-mouth diagnostic dental X-ray film [3] and to irradiation for enlarged tonsils [54] and thymus [55].",background
46,background,1. INTRODUCTION,"In [3], the authors show the bandwidth towards the L0 scratchpad memory is around L0Y times larger than the minimal (where each pixel is transferred once from the L1 to the L0 scratchpad memory).",result
50,background,,"The main distribution of 13-galactosidase-producing cells in tissues from the different lines is summarized in Table I in parallel with the evaluation of collagen VI expression products in control embryos at different locations (Marvulli et al., 1996).",result
51,background,Technical considerations,"…a high overlap between PSD-95 and PLCb1 signals in the cerebral cortex, thus confirming a well defined subcellular location for PLCb1, which previously could be only demonstrated by Western blot analysis of subcellular fractions (Taguchi et al., 2007) or electron microscopy (Fukaya et al., 2008).",result
61,result,Discussion,"…Lemos et al., 2015) at baseline, allowed for the division of the aMCI group according to an AD-alike pattern of impairment at baseline (Lemos et al., 2015), and was associated with the risk of conversion to AD in follow-up studies (Auriacombe et al., 2010; Petersen, 2007; Sarazin et al., 2010).",background
65,background,Pulse wave velocity,"Consequently, the findings of our study suggest that increased PWV noted in new onset diabetes after kidney transplantation [48,49] may already, at least in part, be present before the transplantation and a result of pre-diabetes or insulin resistance in the uraemic patients awaiting a kidney transplant.",result
68,background,Interpretation Bias in Social Anxiety,"In a follow-up study using a clinical sample (Amir et al. 2012), individuals with SAD similarly lacked a positive reaction time bias relative to controls without SAD but, interestingly, did not differ in their reaction time to endorse or reject negative interpretations of social sentences.",result
72,result,Discussion,"This study differed from others where NE was achieved in that the birds were given liquid inoculations rather than cultures mixed with feed (Chalmers et al., 2007; Cooper & Songer, 2010).",method
79,method,Methods,"Depression Assessment The Montgomery-Åsberg Depression Rating Scale (MADRS) [13] is increasingly employed in clinical research since results from earlier studies had suggested that the scale could be superior to the traditional HAMD17 with respect to sensitivity to change [13,14,15] and other psychometric properties [16].",background
81,background,Method,"To reduce indels at off-target sites, double nicking of opposite strands by the RuvC dead mutant Cas9D10A with two gRNAs has been proposed (Ran et al. 2013a; Shen et al. 2014).",method
